YEAR,NAME,TEAM,IP,pLI,playerid
2012,Logan Ondrusek,Reds,54.2,1.41,3677
2013,Bryan Morris,Pirates,65,0.97,10234
2012,Matt Thornton,White Sox,65,1.56,1918
2013,Burke Badenhop,Brewers,62.1,0.65,9736
2014,Adam Warren,Yankees,62.1,1.41,9029
2012,Brian Duensing,Twins,57,1.06,4064
2012,Aaron Crow,Royals,64.2,1.06,10149
2013,Kevin Gregg,Cubs,62,1.95,1793
2014,Joba Chamberlain,Tigers,51.2,1.62,2692
2012,Bryan Shaw,Diamondbacks,59.1,0.91,8110
2011,Octavio Dotel,- - -,54,0.98,555
2011,Kameron Loe,Brewers,72,1.21,4422
2011,Chad Qualls,Padres,74.1,1.39,2170
2011,Brian Sanches,Marlins,56.1,0.37,2739
2012,Alex Burnett,Twins,71.2,0.85,4065
2013,Adam Warren,Yankees,69,0.52,9029
2014,Craig Stammen,Nationals,66.1,0.8,7274
2013,Brian Matusz,Orioles,51,0.97,2646
2013,Tim Collins,Royals,53.1,1.25,3164
2012,Josh Lindblom,- - -,71,1.13,7882
2011,Frank Francisco,Blue Jays,50.2,1.48,1933
2011,Sergio Santos,White Sox,63.1,1.77,4734
2014,Carlos Torres,Mets,73.1,0.97,7624
2011,Mitchell Boggs,Cardinals,60.2,0.73,3344
2011,Henry Rodriguez,Nationals,65.2,1.02,6371
2012,Octavio Dotel,Tigers,58,1.04,555
2013,James Russell,Cubs,52.2,1.42,4089
2012,Chris Perez,Indians,57.2,1.86,5213
2014,Adam Ottavino,Rockies,57.2,1.45,1247
2012,Jon Rauch,Mets,57.2,1.14,1475
2012,Shawn Camp,Cubs,77.2,1.04,1855
2014,Trevor Rosenthal,Cardinals,60,2.48,10745
2011,Jason Frasor,- - -,60,1.17,1906
2014,Will Smith,Brewers,57.1,1.57,8048
2011,Todd Coffey,Nationals,59.2,0.93,2467
2011,Tim Collins,Royals,67,1.01,3164
2012,Jose Veras,Brewers,67,1.04,2063
2012,Joel Peralta,Rays,67,1.2,2332
2011,Michael Stutes,Phillies,62,1.09,6550
2011,Bobby Parnell,Mets,59.1,1.43,9926
2011,Scott Linebrink,Braves,54.1,0.97,564
2012,Joaquin Benoit,Tigers,71,1.43,1437
2014,Addison Reed,Diamondbacks,51.1,1.72,10586
2013,Wesley Wright,- - -,53.2,0.75,5960
2013,Troy Patton,Orioles,56,0.77,8368
2011,Brian Fuentes,Athletics,58.1,1.48,429
2012,Louis Coleman,Royals,51,0.47,9720
2013,Scott Rice,Mets,51,1.32,2743
2011,Nick Masset,Reds,70.1,1.32,7267
2012,Matt Belisle,Rockies,80,1.63,1837
2012,Tyler Clippard,Nationals,72.2,1.78,5640
2011,Daniel McCutchen,Pirates,84.2,0.84,263
2012,Jamey Wright,Dodgers,67.2,0.72,715
2013,Oliver Perez,Mariners,53,1.1,1514
2013,Michael Kohn,Angels,53,1.03,8505
2013,Charlie Furbush,Mariners,65,1.31,1370
2014,Steve Cishek,Marlins,55.1,2.12,6483
2012,Boone Logan,Yankees,55.1,1.23,5525
2011,Blake Wood,Royals,69.2,0.86,1345
2013,Tim Stauffer,Padres,69.2,0.75,6432
2014,Daniel Webb,White Sox,57.1,0.74,10558
2014,Jake Diekman,Phillies,62,1.39,5003
2012,Brad Brach,Padres,66.2,1.02,6627
2012,Jose Valverde,Tigers,69,1.68,1726
2013,Addison Reed,White Sox,71.1,2.06,10586
2011,Craig Breslow,Athletics,59.1,0.78,4363
2013,Ernesto Frieri,Angels,68.2,2.04,5178
2011,Jose Veras,Pirates,71,1.37,2063
2011,Guillermo Mota,Giants,80.1,0.69,1467
2011,Sean Burnett,Nationals,56.2,1.38,1886
2013,Jared Burton,Twins,66,1.46,8346
2012,Steve Delabar,- - -,66,0.95,11827
2011,Huston Street,Rockies,58.1,1.75,8258
2014,Joel Peralta,Rays,53.2,1.26,2332
2013,Kelvin Herrera,Royals,58.1,1.25,6033
2014,Jamey Wright,Dodgers,60.2,0.95,715
2014,Aaron Crow,Royals,51.1,0.83,10149
2014,David Huff,- - -,51.1,0.68,4257
2012,Rex Brothers,Rockies,67.2,1.34,9794
2013,Ryan Pressly,Twins,76.2,0.52,7005
2011,Aaron Laffey,- - -,53.1,0.85,6248
2012,Hector Santiago,White Sox,51,0.82,4026
2012,Cristhian Martinez,Braves,73.2,0.56,5337
2012,Chris Resop,Pirates,73.2,0.84,3799
2013,Casey Fien,Twins,62,1.1,3926
2013,Jesse Chavez,Athletics,57.1,0.78,5448
2014,Juan Gutierrez,Giants,57,0.6,3265
2011,Fernando Rodriguez,Astros,52.1,1.2,7558
2013,Ronald Belisario,Dodgers,68,1.33,2203
2013,Brian Duensing,Twins,61,1.08,4064
2013,T.J. McFarland,Orioles,72,0.73,3237
2012,Phil Coke,Tigers,54,1.32,5535
2011,Hector Noesi,Yankees,51.2,0.78,3292
2014,Justin Grimm,Cubs,58.1,0.89,11720
2011,Carlos Marmol,Cubs,74,2.04,2790
2013,John Axford,- - -,65,1.23,9059
2013,Jake McGee,Rays,62.2,1.37,7550
2011,Joakim Soria,Royals,60.1,2.08,6941
2012,Ryan Webb,Marlins,60.1,1.01,7474
2012,Anthony Swarzak,Twins,73.1,0.66,7466
2011,Juan Oviedo,Marlins,64.1,1.9,2886
2013,Wilton Lopez,Rockies,75.1,0.92,4227
2014,Ross Detwiler,Nationals,55.1,0.59,2859
2011,Matt Guerrier,Dodgers,66.1,1.22,2061
2011,Blake Hawksworth,Dodgers,53,0.85,8963
2011,Matt Reynolds,Rockies,50.2,0.99,8887
2013,Logan Ondrusek,Reds,55,0.72,3677
2011,Burke Badenhop,Marlins,63.2,0.74,9736
2013,Heath Bell,Diamondbacks,65.2,1.58,2080
2013,Preston Claiborne,Yankees,50.1,0.64,10500
2013,Tom Wilhelmsen,Mariners,59,1.62,9975
2013,Cesar Ramos,Rays,67.1,0.43,3357
2013,Nate Jones,White Sox,78,1.42,4696
2014,Anthony Swarzak,Twins,60.1,0.62,7466
2013,Danny Farquhar,Mariners,55.2,1.27,8501
2011,Shawn Camp,Blue Jays,66.1,1.05,1855
2011,Will Ohman,White Sox,53.1,0.58,296
2013,Juan Gutierrez,- - -,55.1,0.79,3265
2012,Ramon Ramirez,Mets,63.2,0.78,7986
2011,Matt Capps,Twins,65.2,1.53,4788
2014,Jared Burton,Twins,52.2,0.98,8346
2012,Fernando Salas,Cardinals,58.2,1.16,4971
